#  LAT(N)   LON(E)   DEPTH   STEP  DOSE RATE  TOTAL DOSE
-43.0171  61.2170  248.925  252  5.5307E+00  1.4018E+01
-43.0747  61.4146  248.809  253  5.5421E+00  1.4110E+01
-43.1320  61.6126  248.693  254  5.5534E+00  1.4203E+01
-43.1890  61.8110  248.577  255  5.5648E+00  1.4296E+01
-43.2456  62.0097  248.461  256  5.5761E+00  1.4389E+01
-43.3018  62.2089  248.345  257  5.5877E+00  1.4482E+01
-43.3577  62.4083  248.229  258  5.5994E+00  1.4575E+01
-43.4133  62.6082  248.113  259  5.6111E+00  1.4669E+01
-43.4685  62.8084  247.998  260  5.6229E+00  1.4762E+01
-43.5234  63.0090  247.882  261  5.6348E+00  1.4856E+01
-43.5779  63.2099  247.767  262  5.6466E+00  1.4950E+01
-43.6320  63.4112  247.651  263  5.6582E+00  1.5045E+01
-43.6858  63.6129  247.536  264  5.6696E+00  1.5139E+01
-43.7393  63.8149  247.421  265  5.6808E+00  1.5234E+01
-43.7923  64.0172  247.306  266  5.6919E+00  1.5329E+01
-43.8451  64.2200  247.191  267  5.7038E+00  1.5424E+01
-43.8974  64.4231  247.076  268  5.7156E+00  1.5519E+01
-43.9494  64.6265  246.961  269  5.7273E+00  1.5614E+01
-44.0010  64.8303  246.847  270  5.7390E+00  1.5710E+01
-44.0523  65.0345  246.732  271  5.7498E+00  1.5806E+01
-44.1032  65.2390  246.618  272  5.7594E+00  1.5902E+01
-44.1538  65.4438  246.504  273  5.7688E+00  1.5998E+01
-44.2039  65.6490  246.390  274  5.7780E+00  1.6094E+01
-44.2537  65.8546  246.276  275  5.7871E+00  1.6191E+01
-44.3032  66.0605  246.162  276  5.7962E+00  1.6287E+01
-44.3522  66.2667  246.048  277  5.8058E+00  1.6384E+01
-44.4009  66.4733  245.934  278  5.8154E+00  1.6481E+01
-44.4492  66.6802  245.821  279  5.8251E+00  1.6578E+01
-44.4971  66.8875  245.707  280  5.8349E+00  1.6675E+01
-44.5447  67.0951  245.593  281  5.8449E+00  1.6773E+01
-44.5919  67.3030  245.480  282  5.8553E+00  1.6870E+01
-44.6387  67.5113  245.366  283  5.8656E+00  1.6968E+01
-44.6851  67.7199  245.252  284  5.8758E+00  1.7066E+01
-44.7311  67.9288  245.138  285  5.8861E+00  1.7164E+01
-44.7768  68.1381  245.025  286  5.8961E+00  1.7263E+01
-44.8220  68.3477  244.911  287  5.9058E+00  1.7361E+01
-44.8669  68.5576  244.797  288  5.9155E+00  1.7460E+01
-44.9114  68.7679  244.683  289  5.9252E+00  1.7558E+01
-44.9555  68.9785  244.569  290  5.9351E+00  1.7657E+01
-44.9992  69.1894  244.455  291  5.9432E+00  1.7756E+01
-45.0426  69.4006  244.341  292  5.9510E+00  1.7855E+01
-45.0855  69.6121  244.227  293  5.9589E+00  1.7955E+01
-45.1280  69.8239  244.113  294  5.9669E+00  1.8054E+01
-45.1702  70.0361  243.999  295  5.9751E+00  1.8154E+01
-45.2119  70.2486  243.885  296  5.9847E+00  1.8254E+01
-45.2533  70.4614  243.772  297  5.9942E+00  1.8353E+01
-45.2943  70.6745  243.658  298  6.0035E+00  1.8454E+01
-45.3348  70.8879  243.544  299  6.0127E+00  1.8554E+01
-45.3750  71.1016  243.430  300  6.0211E+00  1.8654E+01
-45.4147  71.3156  243.316  301  6.0289E+00  1.8755E+01
-45.4541  71.5299  243.203  302  6.0368E+00  1.8855E+01
-45.4931  71.7445  243.089  303  6.0446E+00  1.8956E+01
-45.5316  71.9593  242.976  304  6.0525E+00  1.9057E+01
-45.5698  72.1745  242.862  305  6.0605E+00  1.9158E+01
